boss,phase,number_of_sources,total_minutes,attack_clips,positive_attack_clips,negative_clips,different_players,different_camera_conditions,coverage_score,status,notes
Gyoubu Masataka Oniwa,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Lady Butterfly,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"3 boss-specific reference URLs catalogued; 3 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Genichiro Ashina,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"4 boss-specific reference URLs catalogued; 4 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Folding Screen Monkeys,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Guardian Ape,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Headless Ape,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Corrupted Monk,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
True Corrupted Monk,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Great Shinobi Owl,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Owl Father,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Divine Dragon,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Demon of Hatred,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Emma,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Isshin Ashina,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"4 boss-specific reference URLs catalogued; 4 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Isshin the Sword Saint,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Inner Genichiro,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Inner Father,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"2 boss-specific reference URLs catalogued; 2 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Inner Isshin,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"3 boss-specific reference URLs catalogued; 3 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Chained Ogre,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Blazing Bull,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Juzou the Drunkard,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
Ashina Elite,UNREVIEWED,0,0,0,0,0,0,0,0,EMPTY,"1 boss-specific reference URLs catalogued; 1 named reference creators. Counts measure acquired and reviewed data, currently none. Camera conditions and phase boundaries unreviewed. Compilation links are not counted as independent boss coverage."
